id_bien;num_voie;voie;code_postal;surface_totale;type_local;total_piece;id_codedep_codecom
483;9 ;RUE VARANFRAIN;5700;42.7;Appartement;2;05166
484;5287 ; LES CHALPS;5600;16.7;Appartement;1;05119
485;8 ;AV GEN DE GAULLE;5100;0.4;Appartement;1;05023
486;6459 ; LES BERNARDS;5230;59.66;Maison;3;05040
487;5290 ; CLOT DES LEOTHAUDS;5290;21.2;Appartement;1;05110
488;4 ;CRS VICTOR HUGO;5000;43.36;Appartement;2;05061
489;17 ;RUE ST JULIEN;5500;56.81;Appartement;3;05132
490;16 ;PL BARTHELON;5200;43.33;Appartement;3;05046
491;2 ;RUE JEAN EYMAR;5000;32.8;Appartement;2;05061
492;5316 ; ENTRE LA VIA;5100;15.42;Appartement;1;05093
493;5732 ; LES ILES;5240;24.64;Appartement;1;05161
494;5162 ;RES LES ISSARTS;5250;28.5;Appartement;2;05139
495;2 ;RUE PASTEUR;5100;66.45;Appartement;2;05023
496;44 ;RTE DE GRAFFINEL;5000;59.9;Appartement;3;05061
497;5359 ; MERLETTE;5170;54.99;Appartement;3;05096
498;5381 ; MERLETTE;5170;18.04;Appartement;1;05096
499;5809 ; LE ROCHAS;5220;28.56;Appartement;1;05079
500;5141 ; LE BOIS D AUROUZE;5250;23.66;Appartement;1;05139
501;44 ;RUE DE LA TOUR;5230;121.56;Appartement;5;05017
502;5398 ; SUPER DEVOLUY;5250;30.72;Appartement;2;05139
503;5316 ; MERLETTE;5170;32.97;Appartement;2;05096
504;30 B;RUE DE VALSERRES;5000;28.61;Appartement;1;05061
505;5095 ; LA GRANDE SAGNE;5250;30.74;Appartement;2;05139
506;33 ;RUE JEAN JAURES;5400;30.59;Appartement;1;05179
507;5216 ; FONTAINEBLEAU;5700;33.5;Appartement;2;05166
508;5398 ; SUPER DEVOLUY;5250;30.52;Appartement;2;05139
509;5041 ;PL GEN ALBERT;5600;51.85;Appartement;2;05065
510;5336 ; MERLETTE;5170;63.2;Appartement;2;05096
511;5293 ; LA TARTARASSE;5290;23.08;Appartement;3;05110
512;5830 ; BOIS DE LA BLACHE;5230;86.49;Maison;3;05040
513;5000 ; LA JOUE DU LOUP;5250;36.44;Appartement;2;05139
514;5277 ; PRE LALLEGRE;5200;28.96;Appartement;2;05098
515;5141 ; LE BOIS D AUROUZE;5250;26.42;Appartement;1;05139
516;9001 B;RUE DES MARRONNIERS;5000;49.06;Appartement;2;05061
517;9007 ;RUE DES EYGUIERES;5230;100.11;Maison;5;05040
518;9006 ;IMP PRE LAGRANGE;5500;89.03;Maison;4;05132
519;5496 ; LES EYSSARDS DE PELVOUX;5340;43.44;Appartement;2;05101
520;5212 ; SAINT FERREOL;5160;119.95;Appartement;4;05164
521;5100 A; LE CHEF LIEU;5100;25.1;Appartement;4;05085
522;51 ;LOT LES JARDINS DU MORGON;5160;49.55;Appartement;3;05164
523;5141 ; LE BOIS D AUROUZE;5250;26.62;Appartement;1;05139
524;5220 ; LA JOUE DU LOUP;5250;28.79;Appartement;2;05139
525;5324 ; LES ESCOUNDUS;5560;18.63;Appartement;1;05177
526;5139 ; CANARD;5500;14;Appartement;4;05072
527;5141 ; LE BOIS D AUROUZE;5250;16.99;Appartement;1;05139
528;9190 3;ALL ALBERT BOURGES;5100;68.23;Appartement;3;05023
529;5076 A; LES UBACS;5290;21.48;Appartement;2;05110
530;5271 A; CLOT PEOUILLOUX;5290;16.9;Appartement;1;05110
531;5162 G; LE CHATEAU;5200;101.99;Appartement;4;05111
532;5979 F;RUE DE LA LIBERTE;5200;54.25;Appartement;3;05046
533;5170 ; PRE LONGIS;5200;26.78;Appartement;1;05098
534;5165 ; PRE DES LAGIERS;5200;27.06;Appartement;1;05098
535;25 ;RUE PASTEUR;5100;34.97;Appartement;2;05023
536;5240 ; LES CHALPS;5600;18.45;Appartement;1;05119
537;5644 ; PELINCHE;5600;39.3;Appartement;3;05119
538;6051 ; SERRE SERRET;5250;35.51;Appartement;2;05139
539;1 ;CRS EMILE ZOLA;5000;52.24;Appartement;2;05061
540;5338 ;COR DU CLOT CHENU;5260;14.33;Appartement;1;05153
541;5337 ; LES QUEYRETS ET PEYRON;5330;49.21;Appartement;2;05133
542;63 ;RUE DE LA GUISANE;5240;39.2;Appartement;3;05161
543;5244 ; PRE LONGIS;5200;30.34;Appartement;1;05098
544;5725 ; LES ILES;5240;28.32;Appartement;1;05161
545;8 ;RUE ROSSINI;6000;99.04;Appartement;4;06088
546;27 ;RUE LAMARTINE;6000;30.2;Appartement;3;06088
547;20 B;RUE MARCEAU;6000;80.25;Appartement;3;06088
548;98 ;BD PAPE JEAN 23;6300;72.25;Appartement;4;06088
549; 0;RUE LAMARTINE;6000;19.23;Appartement;1;06088
550;31 ;RUE HEROLD;6000;56.45;Appartement;2;06088
551;34 ;RUE DE LA BUFFA;6000;18.02;Appartement;1;06088
552;17 ;RUE GOUNOD;6000;32.83;Appartement;2;06088
553;10 ;AV CYRILLE BESSET;6100;48.23;Appartement;2;06088
554;23 ;RUE ASSALIT;6000;34.04;Appartement;1;06088
555;43 B;BD STALINGRAD;6300;36.26;Appartement;2;06088
556;29 ;AV VILLERMONT;6000;69;Appartement;3;06088
557;140 ;QUAI DE LA BANQUIERE;6730;45.5;Appartement;2;06114
558;52 ;RUE MAL VAUBAN;6300;13.69;Appartement;1;06088
559;4 ;AV VALROSE;6100;68.75;Appartement;3;06088
560;54 ;AV DE LA REPUBLIQUE;6300;34.31;Appartement;2;06088
561;34 ;BD STALINGRAD;6300;68.35;Appartement;3;06088
562;18 ;RUE FONCET;6000;114.78;Appartement;4;06088
563;65 ;AV GEORGE  5;6000;30.76;Appartement;1;06088
564;2 T;RUE SPITALIERI;6000;78.45;Appartement;4;06088
565;9 ;RUE DU MARECHAL JOFFRE;6000;64.25;Appartement;2;06088
566;4 ;RUE MARALDI;6300;118.14;Appartement;5;06088
567;4 ;BD CIMIEZ;6000;133.44;Appartement;4;06088
568;9013 ; COL DE VILLEFRANCHE;6300;96;Appartement;4;06088
569;5 ;RUE CHANOINE ALBIN;6300;28.32;Appartement;1;06088
570;57 ;BD DU MONT BORON;6300;93.6;Appartement;3;06088
571;84 ;RUE DU MARECHAL JOFFRE;6000;79.48;Appartement;2;06088
572;40 ;BD STALINGRAD;6300;19.88;Appartement;1;06088
573;26 ;BD AUGUSTE RAYNAUD;6100;43.48;Appartement;1;06088
574;4 ;RUE BARLA;6300;90.1;Appartement;3;06088
575;3 ;MTE DESAMBROIS;6000;19.11;Appartement;1;06088
576;12 ;RUE CASSINI;6300;24.92;Appartement;2;06088
577;25 ;RUE BENOIT BUNICO;6300;16.54;Appartement;1;06088
578;3 ;RUE DE L OPERA;6300;172.21;Appartement;5;06088
579;6 ;RUE BENOIT BUNICO;6300;36.11;Appartement;1;06088
580;33 ;RUE ARSON;6300;46.34;Appartement;3;06088
581;9 ;RUE VERDI;6000;17.05;Appartement;1;06088
582;20 ;RUE CRONSTADT;6000;131.09;Appartement;4;06088
583;152 ;BD DE CESSOLE;6100;53.84;Appartement;3;06088
584;3 ;RUE MASCOINAT;6300;31.2;Appartement;2;06088
585;8 ;AV LEON DELOYE;6340;106.78;Maison;3;06149
586;21 ;RUE VERNIER;6000;86.82;Appartement;3;06088
587;1 ;RUE JOSEPH GAZAN;6000;23.13;Appartement;1;06088
588;31 ;RUE GIOFFREDO;6000;78.01;Appartement;3;06088
589;46 ;RUE AUGUSTE GAL;6300;38.29;Appartement;2;06088
590;29 ;AV PAULIANI;6000;45.51;Appartement;4;06088
591;5 ;BD GENERAL LOUIS DELFINO;6300;33.27;Appartement;2;06088
592;12 ;MTE CLAIRE VIRENQUE;6100;81.04;Appartement;4;06088
593;14 ;RUE MASSINGY;6000;26.51;Appartement;1;06088
594;12 ;RUE EMMANUEL PHILIBERT;6300;73.71;Appartement;5;06088
595;10 ;RUE VERDI;6000;22.24;Appartement;1;06088
596;9 ;RUE GUBERNATIS;6000;44.01;Appartement;2;06088
597;10 ;CHE DE L ARBRE;6340;25.75;Appartement;2;06149
598;48 ;COR FRERE MARC;6000;66.41;Appartement;4;06088
599;35 ;BD JOSEPH GARNIER;6000;68.39;Appartement;3;06088
600;40 ;BD VICTOR HUGO;6000;154;Appartement;5;06088
601;31 ;RUE DE LEPANTE;6000;81.26;Appartement;3;06088
602;21 ;RUE DABRAY;6000;54.03;Appartement;2;06088
603;16 ;AV DU CHATEAU;6340;34.81;Appartement;2;06149
604;7 ;RUE ANTOINE SCOFFIER;6340;48.02;Appartement;2;06149
605;99 ;AV HESPERIDES;6300;27.57;Appartement;2;06088
606;1 ;RLE DES MOULINS;6300;44.15;Appartement;3;06088
607;3 ;RUE BARBERIS;6300;82.1;Appartement;3;06088
608;20 ;RUE ALBERT VOISIN;6300;34.65;Appartement;2;06088
609;14 ;RUE TRACHEL;6000;37.1;Appartement;2;06088
610;39 ;RUE GIOFFREDO;6000;53.08;Appartement;2;06088
611;12 ;RUE MIRON;6000;13.55;Appartement;1;06088
612;12 ;RUE ABBAYE;6300;60.77;Appartement;4;06088
613;39 ;BD JOSEPH GARNIER;6000;22.2;Appartement;1;06088
614;6 ;RUE SAINTE REPARATE;6300;95.59;Appartement;3;06088
615;45 ;RUE SMOLETT;6300;26.41;Appartement;2;06088
616;1 ;BD DE RIQUIER;6300;60.32;Appartement;2;06088
617;98 ;AV VALROSE;6100;42.14;Appartement;2;06088
618;20 ;AV VILLEBOIS MAREUIL;6000;88.1;Appartement;3;06088
619;45 ;RUE ROSSINI;6000;69.7;Appartement;3;06088
620;19 B;BD FRANCK PILATTE;6300;104.48;Appartement;4;06088
621;116 ;BD DE CESSOLE;6100;44.49;Appartement;1;06088
622;14 ;RUE CASSINI;6300;26.55;Appartement;1;06088
623;23 ;CHE FUON DAOU MAGISTRE;6340;76.2;Appartement;4;06149
624;16 ;AV RAYMOND COMBOUL;6000;26.67;Appartement;1;06088
625;7 ;RUE SAINT VINCENT;6300;38.1;Appartement;2;06088
626;24 ;AV AUGUSTE BERCY;6100;265.26;Appartement;5;06088
627;14 T;AV BORRIGLIONE;6100;80.6;Appartement;3;06088
628;5 ;RUE GUSTAVE DELOYE;6000;22.08;Appartement;1;06088
629;11 B;BD FRANCK PILATTE;6300;44.36;Appartement;2;06088
630;39 ;RUE BONAPARTE;6300;56.1;Appartement;4;06088
631;53 ;BD DU 8 MAI 1945;6730;55.11;Appartement;3;06114
632;24 ;RUE DELILLE;6000;49.73;Appartement;2;06088
633;27 ;RUE LAMARTINE;6000;20.77;Appartement;5;06088
634;7 ;BD DU ROSTIT;6340;64.63;Maison;3;06149
635;29 ;BD FRANCOIS SUAREZ;6340;72.8;Appartement;3;06149
636;18 ;BD DE RIQUIER;6300;42.24;Appartement;2;06088
637;43 ;AV JEAN MEDECIN;6000;44.77;Appartement;2;06088
638;44 ;BD GAMBETTA;6000;91;Appartement;3;06088
639;32 ;RUE VERDI;6000;42.9;Appartement;1;06088
640;7 ;RUE DU SOLEIL;6100;51.15;Appartement;2;06088
641;19 ;AV D ANVERS;6000;78.87;Appartement;3;06088
642;33 ;AV STEPHEN LIEGEARD;6100;15.24;Appartement;1;06088
643;25 ;AV DESAMBROIS;6000;220.02;Appartement;7;06088
644;8 ;CHE DES CRETES;6300;271.58;Appartement;1;06088
645;10 ;BD DUBOUCHAGE;6000;22.75;Appartement;1;06088
646;17 ;RUE PENCHIENATTI;6000;35.87;Appartement;2;06088
647;5 ;RUE DES BOERS;6100;131.19;Appartement;4;06088
648;132 ;AV DE BRANCOLAR;6100;110.6;Appartement;4;06088
649;37 ;AV G CLEMENCEAU;6000;50.32;Appartement;2;06088
650;190 ;RTE DE TURIN;6300;33.33;Appartement;2;06088
651;14 ;RUE DES PONCHETTES;6300;63.6;Maison;4;06088
652;23 ;AV GIACOBI;6300;19.39;Appartement;1;06088
653;2 ;RUE PARMENTIER;6100;9.82;Appartement;1;06088
654;63 ;RUE ROSSINI;6000;51.5;Appartement;2;06088
655;16 ;PL GARIBALDI;6300;185.05;Appartement;3;06088
656;8 ;AV SAINT JEAN BAPTISTE;6000;60.13;Appartement;2;06088
657;10 ;RUE LAURENT GIAUME;6300;45;Appartement;2;06088
658;32 ;RUE L HOTEL POSTES;6000;55.86;Appartement;2;06088
659;39 ;RUE DU MARECHAL JOFFRE;6000;90.53;Appartement;4;06088
660;15 ;RUE ASSALIT;6000;80.27;Appartement;4;06088
661;8 ;RUE SORGENTINO;6300;34.93;Appartement;2;06088
662;11 ;PL PASTEUR;6340;44.12;Appartement;2;06149
663;15 ;RUE DE LA PREFECTURE;6300;6.67;Appartement;1;06088
664;15 ;RUE DE LA PREFECTURE;6300;15.9;Appartement;1;06088
665;3 ;RUE DU CONGRES;6000;26.2;Appartement;1;06088
666;41 ;RUE CLEMENT ROASSAL;6000;34.39;Appartement;1;06088
667;2 ;RUE DE LA POISSONNERIE;6300;115.22;Appartement;4;06088
668;5 T;AV MIRABEAU;6000;37.98;Appartement;1;06088
669;22 ;BD DUBOUCHAGE;6000;80.71;Appartement;4;06088
670;2 ;RUE EMMA ET PHILIPPE TIRANTY;6000;109.5;Appartement;5;06088
671;50 ;RUE ARSON;6300;77.62;Appartement;2;06088
672;13 ;RUE MARALDI;6300;41.24;Appartement;2;06088
673;240 ;CHE DU FALICONET;6950;62.5;Appartement;4;06060
674;15 ;RUE RIBOTTI;6300;50.04;Appartement;3;06088
675;17 ;RUE DE RUSSIE;6000;89.66;Appartement;4;06088
676;20 ;RUE ALBERT VOISIN;6300;32.6;Appartement;2;06088
677;20 ;BD ARMEE DES ALPES;6300;66.35;Appartement;3;06088
678;45 ;BD STALINGRAD;6300;91.17;Appartement;5;06088
679;25 ;RUE DE ROQUEBILLIERE;6300;56.89;Appartement;3;06088
680;38 ;RUE VERDI;6000;89.5;Appartement;3;06088
681;6 ;AV RENE BOYLESVE;6100;44.11;Appartement;3;06088
682;9 B;RUE EMMANUEL PHILIBERT;6300;33.04;Appartement;3;06088
683;42 ;RUE BONAPARTE;6300;26.05;Appartement;1;06088
684;9 ;AV MARECHAL LYAUTEY;6000;18.69;Appartement;1;06088
685;25 ;RUE TRACHEL;6000;34.33;Appartement;1;06088
686;3 ;AV URBAIN BOSIO;6300;36.55;Appartement;2;06088
687;1 ;RUE DE ORESTIS;6300;38.58;Appartement;2;06088
688;54 ;RUE AUGUSTE GAL PROLONGEE;6300;40.75;Appartement;2;06088
689;30 ;BD GORBELLA;6100;53.19;Appartement;3;06088
690;1 ;RUE MACCARANI;6000;61.35;Appartement;3;06088
691;19 ;BD FRANCOIS SUAREZ;6340;74.62;Appartement;3;06149
692;49 ;BD GENERAL LOUIS DELFINO;6300;56.19;Appartement;2;06088
693;8 ;RUE GUIGLIA;6000;98.18;Appartement;3;06088
694;2 ;RUE FONTAINE DE LA VILLE;6300;38.82;Appartement;3;06088
695;15 ;RUE DE BELGIQUE;6000;14.35;Appartement;1;06088
696;30 ;BD GENERAL LOUIS DELFINO;6300;41.36;Appartement;2;06088
697;18 ;RUE BERLIOZ;6000;150.36;Appartement;5;06088
698;28 ;RUE GEORGES VILLE;6300;18.18;Appartement;1;06088
699;22 T;BD DUBOUCHAGE;6000;18.81;Appartement;1;06088
700;167 ;AV MARECHAL LYAUTEY;6000;32.24;Appartement;1;06088
701;1 ;RUE VICTOR JUGE;6000;164.4;Appartement;1;06088
702;10 ;RUE BERLIOZ;6000;89.27;Appartement;4;06088
703;109 ;QUAI DE LA BANQUIERE;6730;86.05;Appartement;4;06114
704;36 ;RTE DE TURIN;6300;64.2;Appartement;3;06088
705;29 ;BD FRANCOIS SUAREZ;6340;69.59;Appartement;3;06149
706;18 ;AV GRAVIER;6100;52.32;Appartement;4;06088
707;30 ;RUE GUIGLIA;6000;75.25;Appartement;2;06088
708;12 ;PL GUYNEMER;6300;57.1;Appartement;3;06088
